rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	longitud	latitud
161	9	s20260603_171333870228_299	1	9	2500	1714	3172	3584	1162	1354	1214	3512	-44.142	-20.126
162	9	s20260603_171333870228_299	1	9	2407	1637	3169	3612	1173	1355	1210	3756	-44.140	-20.126
163	9	s20260603_171333870228_299	1	9	2467	1645	3108	3580	1166	1337	1208	3462	-44.142	-20.126
164	9	s20260603_171333870228_299	1	9	2456	1672	3082	3498	1157	1342	1202	3437	-44.142	-20.125
165	9	s20260603_171333870228_299	1	9	2460	1637	3055	3574	1167	1356	1216	3667	-44.140	-20.126
166	9	s20260603_171333870228_299	1	9	2447	1615	3005	3493	1158	1358	1234	3476	-44.141	-20.126
167	9	s20260603_171333870228_299	1	9	2393	1644	3095	3498	1159	1342	1185	3578	-44.142	-20.126
168	9	s20260603_171333870228_299	1	9	2474	1655	3166	3608	1162	1370	1202	3698	-44.141	-20.126
169	9	s20260603_171333870228_299	1	9	2415	1625	3121	3564	1148	1312	1191	3404	-44.142	-20.127
170	9	s20260603_171333870228_299	1	9	2348	1596	2927	3402	1157	1330	1214	3442	-44.141	-20.127
171	9	s20260603_171333870228_299	1	9	2472	1660	3140	3585	1173	1352	1214	3654	-44.140	-20.126
172	9	s20260603_171333870228_299	1	9	2418	1595	2945	3365	1161	1322	1198	3406	-44.141	-20.126
173	9	s20260603_171333870228_299	1	9	2397	1618	3080	3541	1155	1332	1202	3666	-44.141	-20.127
174	9	s20260603_171333870228_299	1	9	2499	1691	3212	3699	1164	1409	1218	3916	-44.140	-20.126
175	9	s20260603_171333870228_299	1	9	2417	1617	2993	3384	1151	1325	1200	3392	-44.140	-20.127
176	9	s20260603_171333870228_299	1	9	2426	1657	3141	3543	1162	1354	1193	3437	-44.142	-20.126
177	9	s20260603_171333870228_299	1	9	2436	1632	3067	3529	1157	1356	1196	3540	-44.141	-20.126
178	9	s20260603_171333870228_299	1	9	2442	1644	3198	3676	1160	1348	1197	3679	-44.140	-20.125
179	9	s20260603_171333870228_299	1	9	2476	1657	3121	3576	1162	1339	1207	3670	-44.141	-20.126
180	10	s20260603_171419340613_120	2	10	3812	2573	3316	3554	1687	2048	2564	3730	-44.153	-20.148
181	10	s20260603_171419340613_120	2	10	3665	2669	3176	3394	1610	1984	2250	3219	-44.154	-20.148
182	10	s20260603_171419340613_120	2	10	3768	2487	3220	3508	1450	1722	1974	3312	-44.153	-20.148
183	10	s20260603_171419340613_120	2	10	3919	2780	3357	3607	1686	2060	2338	3636	-44.154	-20.148
184	10	s20260603_171419340613_120	2	10	3722	2480	3070	3365	1502	1750	2132	3234	-44.154	-20.148
185	10	s20260603_171419340613_120	2	10	3741	2525	3313	3526	1658	1912	2332	3300	-44.153	-20.148
186	10	s20260603_171419340613_120	2	10	3891	2934	3244	3506	1661	2050	2506	3376	-44.154	-20.148
187	10	s20260603_171419340613_120	2	10	3674	2470	3388	3679	1510	1802	1924	3675	-44.155	-20.148
188	10	s20260603_171419340613_120	2	10	3774	2491	3095	3361	1593	1825	2158	3318	-44.154	-20.148
189	10	s20260603_171419340613_120	2	10	3719	2516	3088	3308	1408	1633	1802	3138	-44.154	-20.148
190	10	s20260603_171419340613_120	2	10	3669	2651	3076	3266	1540	1838	2228	3039	-44.154	-20.148
191	10	s20260603_171419340613_120	2	10	3722	2480	3070	3365	1502	1750	2132	3234	-44.154	-20.148
192	10	s20260603_171419340613_120	2	10	3838	2674	3253	3543	1912	2244	2670	3500	-44.154	-20.148
193	10	s20260603_171419340613_120	2	10	3740	2601	3329	3573	1698	2030	2422	3598	-44.153	-20.148
194	10	s20260603_171419340613_120	2	10	3686	2444	3164	3539	1346	1566	1664	3348	-44.154	-20.148
195	10	s20260603_171419340613_120	2	10	3746	2652	3558	3883	1716	2070	2268	3950	-44.154	-20.148
196	10	s20260603_171419340613_120	2	10	3796	2683	3173	3427	1708	2066	2342	3568	-44.154	-20.148
197	10	s20260603_171419340613_120	2	10	3661	2528	3450	3778	1301	1604	1626	3603	-44.154	-20.148
198	10	s20260603_171419340613_120	2	10	3690	2430	3214	3544	1603	2001	2356	3769	-44.154	-20.148
199	10	s20260603_171419340613_120	2	10	3722	2480	3070	3365	1502	1750	2132	3234	-44.154	-20.148
200	11	s20260603_171431090051_680	2	11	3484	2427	3315	3608	1332	1636	1628	3500	-44.158	-20.141
201	11	s20260603_171431090051_680	2	11	3529	2459	3291	3641	1495	1735	1752	3858	-44.158	-20.141
202	11	s20260603_171431090051_680	2	11	3686	2617	3391	3752	1678	2108	2372	3699	-44.158	-20.141
203	11	s20260603_171431090051_680	2	11	3621	2627	3487	3785	1452	1850	1865	3698	-44.159	-20.140
204	11	s20260603_171431090051_680	2	11	3642	2616	3444	3726	1614	1928	2312	3711	-44.158	-20.141
205	11	s20260603_171431090051_680	2	11	3511	2412	3397	3705	1686	1974	2296	3655	-44.159	-20.141
206	11	s20260603_171431090051_680	2	11	3559	2576	3530	3855	1496	1870	2042	3929	-44.159	-20.140
207	11	s20260603_171431090051_680	2	11	3478	2348	3414	3806	1395	1659	1814	3917	-44.158	-20.140
208	11	s20260603_171431090051_680	2	11	3664	2560	3396	3715	1616	1866	2118	3678	-44.158	-20.141
209	11	s20260603_171431090051_680	2	11	3478	2348	3414	3806	1395	1659	1814	3917	-44.158	-20.140
210	11	s20260603_171431090051_680	2	11	3582	2357	3249	3586	1712	2012	2184	3768	-44.158	-20.141
211	11	s20260603_171431090051_680	2	11	3689	2672	3442	3727	1673	1948	2472	3592	-44.159	-20.140
212	11	s20260603_171431090051_680	2	11	3585	2428	3313	3637	1573	1725	2076	3678	-44.158	-20.141
213	11	s20260603_171431090051_680	2	11	3681	2583	3462	3786	1590	2064	2388	3680	-44.159	-20.141
214	11	s20260603_171431090051_680	2	11	3624	2528	3341	3541	1723	2010	2416	3280	-44.158	-20.140
215	11	s20260603_171431090051_680	2	11	3598	2570	3420	3702	1308	1716	1720	3780	-44.158	-20.141
216	11	s20260603_171431090051_680	2	11	3580	2580	3429	3722	1481	1764	1946	3588	-44.159	-20.141
217	11	s20260603_171431090051_680	2	11	3553	2349	3213	3535	1481	1700	1800	3604	-44.158	-20.141
218	11	s20260603_171431090051_680	2	11	3624	2528	3341	3541	1723	2010	2416	3280	-44.158	-20.140
219	11	s20260603_171431090051_680	2	11	3686	2617	3391	3752	1678	2108	2372	3699	-44.158	-20.141
220	12	s20260603_171500936084_706	2	12	3848	2609	2986	3230	1494	1816	2464	3242	-44.199	-20.144
221	12	s20260603_171500936084_706	2	12	3767	2553	2759	2965	1552	1905	2552	2931	-44.199	-20.144
222	12	s20260603_171500936084_706	2	12	3824	2831	2922	3060	1962	2262	2484	2605	-44.199	-20.144
223	12	s20260603_171500936084_706	2	12	3730	2563	2781	2860	1708	1993	2122	3067	-44.200	-20.143
224	12	s20260603_171500936084_706	2	12	3773	2590	2967	3158	1554	1862	2260	3146	-44.199	-20.144
225	12	s20260603_171500936084_706	2	12	3732	2692	2979	3097	1664	1939	2230	2875	-44.199	-20.143
226	12	s20260603_171500936084_706	2	12	3746	2551	3374	3728	1298	1524	1532	3680	-44.199	-20.144
227	12	s20260603_171500936084_706	2	12	3684	2590	3434	3689	1600	1974	1958	3972	-44.199	-20.144
228	12	s20260603_171500936084_706	2	12	3739	2544	2958	3189	1562	1899	2228	3244	-44.199	-20.144
229	12	s20260603_171500936084_706	2	12	3641	2350	3039	3370	1562	1816	2008	3007	-44.199	-20.144
230	12	s20260603_171500936084_706	2	12	3773	2590	2967	3158	1554	1862	2260	3146	-44.199	-20.144
231	12	s20260603_171500936084_706	2	12	3731	2633	3091	3293	1637	2064	2538	3452	-44.199	-20.143
