rand_point_id	fid	roi_id	macroclass_id	class_id	B2	B3	B4	B5	B6	B7	B8	B11	Longitud	Latitud
90	2	s20260528_110443305727_435	2	2	3302	2192	2725	2910	1438	1620	1790	2603	-4.420.553.067	-2.014.350.292
91	2	s20260528_110443305727_435	2	2	3310	2222	2662	2934	1698	1966	2090	2695	-4.420.599.814	-2.014.338.098
92	2	s20260528_110443305727_435	2	2	3319	2325	2780	2970	1689	1946	2106	3069	-4.420.489.759	-2.014.392.632
93	2	s20260528_110443305727_435	2	2	3299	2228	2796	2983	1386	1623	1754	3018	-4.420.548.857	-2.014.353.728
94	2	s20260528_110443305727_435	2	2	3333	2284	3040	3249	1412	1700	1822	3543	-4.420.495.123	-2.014.386.129
95	2	s20260528_110443305727_435	2	2	3307	2321	2676	2746	1574	1782	1951	2295	-4.420.583.817	-2.014.352.868
96	2	s20260528_110443305727_435	2	2	3369	2222	2819	3090	1333	1579	1773	3026	-4.420.526.853	-2.014.351.233
97	2	s20260528_110443305727_435	2	2	3294	2176	2696	2881	1336	1514	1566	2671	-4.420.546.360	-2.014.335.453
98	2	s20260528_110443305727_435	2	2	3348	2220	2829	3076	1496	1716	1854	3217	-4.420.514.253	-2.014.388.545
99	2	s20260528_110443305727_435	2	2	3376	2401	2927	3144	1532	1807	2180	2851	-4.420.646.622	-2.014.344.474
100	3	s20260528_110617811174_79	3	3	3346	2427	4291	4786	1434	1892	1594	4920	-4.420.857.087	-2.012.681.766
101	3	s20260528_110617811174_79	3	3	3293	2462	4261	4709	1368	1844	1538	4676	-4.420.821.881	-2.012.560.873
102	3	s20260528_110617811174_79	3	3	3331	2496	4317	4763	1412	1892	1586	4732	-4.420.877.556	-2.012.600.170
103	3	s20260528_110617811174_79	3	3	3377	2467	4378	4824	1390	1836	1596	4819	-4.420.867.145	-2.012.644.786
104	3	s20260528_110617811174_79	3	3	3240	2445	4325	4729	1385	1836	1528	4715	-4.420.859.901	-2.012.550.250
105	3	s20260528_110617811174_79	3	3	3356	2504	4336	4795	1391	1891	1582	4751	-4.420.871.766	-2.012.622.429
106	3	s20260528_110617811174_79	3	3	3316	2510	4362	4820	1411	1871	1580	4820	-4.420.838.319	-2.012.603.410
107	3	s20260528_110617811174_79	3	3	3298	2457	4277	4699	1390	1832	1583	4693	-4.420.882.064	-2.012.591.052
108	3	s20260528_110617811174_79	3	3	3324	2493	4321	4776	1387	1886	1588	4750	-4.420.863.289	-2.012.593.294
109	3	s20260528_110617811174_79	3	3	3303	2478	4311	4783	1400	1872	1576	4763	-4.420.864.708	-2.012.585.087
110	3	s20260528_110617811174_79	3	3	3221	2420	4245	4676	1356	1788	1484	4432	-4.420.881.975	-2.012.575.700
111	3	s20260528_110617811174_79	3	3	3342	2513	4330	4794	1384	1872	1550	4784	-4.420.852.226	-2.012.608.580
112	3	s20260528_110617811174_79	3	3	3315	2488	4263	4695	1411	1866	1562	4709	-4.420.805.125	-2.012.547.310
113	3	s20260528_110617811174_79	3	3	3303	2480	4322	4789	1402	1854	1568	4813	-4.420.846.920	-2.012.582.495
114	3	s20260528_110617811174_79	3	3	3303	2491	4338	4815	1390	1878	1570	4808	-4.420.836.215	-2.012.597.014
115	3	s20260528_110617811174_79	3	3	3269	2445	4260	4710	1379	1858	1538	4713	-4.420.833.533	-2.012.563.579
116	3	s20260528_110617811174_79	3	3	3344	2509	4335	4789	1391	1883	1562	4789	-4.420.860.573	-2.012.614.196
117	3	s20260528_110617811174_79	3	3	3254	2434	4295	4705	1384	1834	1564	4717	-4.420.851.032	-2.012.556.033
118	3	s20260528_110617811174_79	3	3	3282	2460	4297	4758	1410	1846	1556	4759	-4.420.844.879	-2.012.576.040
119	3	s20260528_110617811174_79	3	3	3402	2484	4393	4863	1431	1902	1622	4899	-4.420.855.520	-2.012.667.265
120	3	s20260528_110617811174_79	3	3	3279	2441	4259	4738	1365	1822	1536	4694	-4.420.825.076	-2.012.580.729
121	3	s20260528_110617811174_79	3	3	3284	2471	4267	4695	1374	1874	1568	4648	-4.420.820.246	-2.012.549.479
122	3	s20260528_110617811174_79	3	3	3231	2483	4342	4747	1384	1862	1553	4683	-4.420.875.140	-2.012.553.529
123	3	s20260528_110617811174_79	3	3	3239	2472	4347	4754	1366	1872	1543	4752	-4.420.860.915	-2.012.550.592
124	3	s20260528_110617811174_79	3	3	3338	2514	4340	4802	1401	1890	1578	4757	-4.420.845.564	-2.012.608.629
125	3	s20260528_110617811174_79	3	3	3298	2457	4277	4699	1390	1832	1583	4693	-4.420.882.580	-2.012.592.421
126	3	s20260528_110617811174_79	3	3	3282	2460	4297	4758	1410	1846	1556	4759	-4.420.848.126	-2.012.580.145
127	3	s20260528_110617811174_79	3	3	3362	2500	4330	4777	1399	1885	1582	4760	-4.420.861.026	-2.012.625.322
128	3	s20260528_110617811174_79	3	3	3259	2456	4249	4697	1412	1846	1554	4752	-4.420.827.218	-2.012.543.603
129	3	s20260528_110617811174_79	3	3	3342	2513	4330	4794	1384	1872	1550	4784	-4.420.852.322	-2.012.616.300
130	3	s20260528_110617811174_79	3	3	3315	2488	4263	4695	1411	1866	1562	4709	-4.420.812.347	-2.012.552.667
131	3	s20260528_110617811174_79	3	3	3327	2482	4293	4732	1387	1866	1612	4728	-4.420.881.472	-2.012.600.954
132	3	s20260528_110617811174_79	3	3	3249	2467	4322	4749	1411	1886	1538	4787	-4.420.853.969	-2.012.542.616
133	3	s20260528_110617811174_79	3	3	3324	2493	4321	4776	1387	1886	1588	4750	-4.420.869.713	-2.012.598.303
134	3	s20260528_110617811174_79	3	3	3292	2433	4244	4721	1387	1858	1564	4683	-4.420.814.817	-2.012.565.372
